,Borough,Major Category,Minor Category,Date,Season,Count,CrimeTier
0,Barking and Dagenham,Burglary,Burglary in Other Buildings,2008,Autumn,169,Medium
1,Barking and Dagenham,Burglary,Burglary in Other Buildings,2008,Spring,166,Medium
2,Barking and Dagenham,Burglary,Burglary in Other Buildings,2008,Summer,120,Medium
3,Barking and Dagenham,Burglary,Burglary in Other Buildings,2008,Winter,194,Medium
4,Barking and Dagenham,Burglary,Burglary in Other Buildings,2009,Autumn,148,Medium
5,Barking and Dagenham,Burglary,Burglary in Other Buildings,2009,Spring,213,High
6,Barking and Dagenham,Burglary,Burglary in Other Buildings,2009,Summer,156,Medium
7,Barking and Dagenham,Burglary,Burglary in Other Buildings,2009,Winter,173,Medium
8,Barking and Dagenham,Burglary,Burglary in Other Buildings,2010,Autumn,165,Medium
9,Barking and Dagenham,Burglary,Burglary in Other Buildings,2010,Spring,156,Medium
10,Barking and Dagenham,Burglary,Burglary in Other Buildings,2010,Summer,152,Medium
11,Barking and Dagenham,Burglary,Burglary in Other Buildings,2010,Winter,149,Medium
12,Barking and Dagenham,Burglary,Burglary in Other Buildings,2011,Autumn,195,High
13,Barking and Dagenham,Burglary,Burglary in Other Buildings,2011,Spring,170,Medium
14,Barking and Dagenham,Burglary,Burglary in Other Buildings,2011,Summer,220,High
15,Barking and Dagenham,Burglary,Burglary in Other Buildings,2011,Winter,154,Medium
16,Barking and Dagenham,Burglary,Burglary in Other Buildings,2012,Autumn,152,Medium
17,Barking and Dagenham,Burglary,Burglary in Other Buildings,2012,Spring,177,Medium
18,Barking and Dagenham,Burglary,Burglary in Other Buildings,2012,Summer,166,Medium
19,Barking and Dagenham,Burglary,Burglary in Other Buildings,2012,Winter,170,Medium
20,Barking and Dagenham,Burglary,Burglary in Other Buildings,2013,Autumn,146,Medium
21,Barking and Dagenham,Burglary,Burglary in Other Buildings,2013,Spring,129,Medium
22,Barking and Dagenham,Burglary,Burglary in Other Buildings,2013,Summer,124,Medium
23,Barking and Dagenham,Burglary,Burglary in Other Buildings,2013,Winter,175,Medium
24,Barking and Dagenham,Burglary,Burglary in Other Buildings,2014,Autumn,120,Medium
25,Barking and Dagenham,Burglary,Burglary in Other Buildings,2014,Spring,142,Medium
26,Barking and Dagenham,Burglary,Burglary in Other Buildings,2014,Summer,138,Medium
27,Barking and Dagenham,Burglary,Burglary in Other Buildings,2014,Winter,141,Medium
28,Barking and Dagenham,Burglary,Burglary in Other Buildings,2015,Autumn,120,Medium
29,Barking and Dagenham,Burglary,Burglary in Other Buildings,2015,Spring,123,Medium
30,Barking and Dagenham,Burglary,Burglary in Other Buildings,2015,Summer,124,Medium
31,Barking and Dagenham,Burglary,Burglary in Other Buildings,2015,Winter,81,Medium
32,Barking and Dagenham,Burglary,Burglary in Other Buildings,2016,Autumn,109,Medium
33,Barking and Dagenham,Burglary,Burglary in Other Buildings,2016,Spring,116,Medium
34,Barking and Dagenham,Burglary,Burglary in Other Buildings,2016,Summer,112,Medium
35,Barking and Dagenham,Burglary,Burglary in Other Buildings,2016,Winter,116,Medium
36,Barking and Dagenham,Burglary,Burglary in Other Buildings,2017,Autumn,142,Medium
37,Barking and Dagenham,Burglary,Burglary in Other Buildings,2017,Spring,188,Medium
38,Barking and Dagenham,Burglary,Burglary in Other Buildings,2017,Summer,176,Medium
39,Barking and Dagenham,Burglary,Burglary in Other Buildings,2017,Winter,167,Medium
40,Barking and Dagenham,Burglary,Burglary in Other Buildings,2018,Autumn,171,Medium
41,Barking and Dagenham,Burglary,Burglary in Other Buildings,2018,Spring,165,Medium
42,Barking and Dagenham,Burglary,Burglary in Other Buildings,2018,Summer,128,Medium
43,Barking and Dagenham,Burglary,Burglary in Other Buildings,2018,Winter,165,Medium
44,Barking and Dagenham,Burglary,Burglary in a Dwelling,2008,Autumn,322,High
45,Barking and Dagenham,Burglary,Burglary in a Dwelling,2008,Spring,235,High
46,Barking and Dagenham,Burglary,Burglary in a Dwelling,2008,Summer,312,High
47,Barking and Dagenham,Burglary,Burglary in a Dwelling,2008,Winter,301,High
48,Barking and Dagenham,Burglary,Burglary in a Dwelling,2009,Autumn,523,High
49,Barking and Dagenham,Burglary,Burglary in a Dwelling,2009,Spring,402,High
50,Barking and Dagenham,Burglary,Burglary in a Dwelling,2009,Summer,392,High
51,Barking and Dagenham,Burglary,Burglary in a Dwelling,2009,Winter,486,High
52,Barking and Dagenham,Burglary,Burglary in a Dwelling,2010,Autumn,392,High
53,Barking and Dagenham,Burglary,Burglary in a Dwelling,2010,Spring,343,High
54,Barking and Dagenham,Burglary,Burglary in a Dwelling,2010,Summer,414,High
55,Barking and Dagenham,Burglary,Burglary in a Dwelling,2010,Winter,435,High
56,Barking and Dagenham,Burglary,Burglary in a Dwelling,2011,Autumn,401,High
57,Barking and Dagenham,Burglary,Burglary in a Dwelling,2011,Spring,450,High
58,Barking and Dagenham,Burglary,Burglary in a Dwelling,2011,Summer,306,High
59,Barking and Dagenham,Burglary,Burglary in a Dwelling,2011,Winter,468,High
60,Barking and Dagenham,Burglary,Burglary in a Dwelling,2012,Autumn,464,High
61,Barking and Dagenham,Burglary,Burglary in a Dwelling,2012,Spring,478,High
62,Barking and Dagenham,Burglary,Burglary in a Dwelling,2012,Summer,355,High
63,Barking and Dagenham,Burglary,Burglary in a Dwelling,2012,Winter,498,High
64,Barking and Dagenham,Burglary,Burglary in a Dwelling,2013,Autumn,378,High
65,Barking and Dagenham,Burglary,Burglary in a Dwelling,2013,Spring,474,High
66,Barking and Dagenham,Burglary,Burglary in a Dwelling,2013,Summer,328,High
67,Barking and Dagenham,Burglary,Burglary in a Dwelling,2013,Winter,489,High
68,Barking and Dagenham,Burglary,Burglary in a Dwelling,2014,Autumn,386,High
69,Barking and Dagenham,Burglary,Burglary in a Dwelling,2014,Spring,316,High
70,Barking and Dagenham,Burglary,Burglary in a Dwelling,2014,Summer,307,High
71,Barking and Dagenham,Burglary,Burglary in a Dwelling,2014,Winter,359,High
72,Barking and Dagenham,Burglary,Burglary in a Dwelling,2015,Autumn,293,High
73,Barking and Dagenham,Burglary,Burglary in a Dwelling,2015,Spring,255,High
74,Barking and Dagenham,Burglary,Burglary in a Dwelling,2015,Summer,246,High
