Borough,Major Category,Minor Category,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Barking and Dagenham,Burglary,Burglary in a Dwelling,1170,1803,1584,1625,1795,1669,1368,1184,840,1229,1284
Barking and Dagenham,Burglary,Burglary in Other Buildings,649,690,622,739,665,574,541,448,453,673,629
Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,803,722,661,606,488,474,398,408,453,424,321
Barking and Dagenham,Criminal Damage,Criminal Damage To Motor Vehicle,1439,1278,1037,881,686,669,753,842,839,762,630
Barking and Dagenham,Criminal Damage,Criminal Damage To Other Building,196,190,185,180,141,137,144,149,166,111,87
Barking and Dagenham,Criminal Damage,Other Criminal Damage,599,657,595,525,404,364,382,439,507,486,490
Barking and Dagenham,Drugs,Drug Trafficking,65,85,107,82,76,69,89,51,68,61,62
Barking and Dagenham,Drugs,Other Drugs,2,1,7,3,0,6,3,2,3,0,1
Barking and Dagenham,Drugs,Possession Of Drugs,1474,976,1076,911,989,1203,972,1139,1061,723,849
Barking and Dagenham,Fraud or Forgery,Counted per Victim,859,792,936,833,508,50,0,0,0,0,0
Barking and Dagenham,Fraud or Forgery,Other Fraud & Forgery,381,439,332,306,289,40,36,23,17,26,23
Barking and Dagenham,Other Notifiable Offences,Going Equipped,13,15,11,9,7,11,8,6,11,8,4
Barking and Dagenham,Other Notifiable Offences,Other Notifiable,256,339,318,347,260,281,325,336,383,375,374
Barking and Dagenham,Robbery,Business Property,72,77,83,81,71,36,36,46,49,48,57
Barking and Dagenham,Robbery,Personal Property,599,774,802,973,696,503,463,527,503,830,768
Barking and Dagenham,Sexual Offences,Other Sexual,160,178,177,178,155,163,227,265,272,276,299
Barking and Dagenham,Sexual Offences,Rape,52,71,81,89,111,126,137,176,194,208,211
Barking and Dagenham,Theft and Handling,Handling Stolen Goods,49,51,49,32,43,60,72,44,25,30,24
Barking and Dagenham,Theft and Handling,Motor Vehicle Interference & Tampering,142,96,92,98,126,147,171,191,278,0,0
Barking and Dagenham,Theft and Handling,Other Theft,1689,1621,1867,1942,2289,1996,1969,1925,1961,2020,1795
Barking and Dagenham,Theft and Handling,Other Theft Person,287,363,358,385,439,390,326,299,350,421,458
Barking and Dagenham,Theft and Handling,Theft From Motor Vehicle,1678,1635,1741,1593,1582,1791,1093,949,1052,1276,1085
Barking and Dagenham,Theft and Handling,Theft From Shops,654,750,798,709,651,740,744,834,929,924,790
Barking and Dagenham,Theft and Handling,Theft/Taking Of Motor Vehicle,999,967,1035,1224,800,815,736,730,919,1183,1268
Barking and Dagenham,Theft and Handling,Theft/Taking of Pedal Cycle,180,253,264,285,316,265,226,238,185,247,203
Barking and Dagenham,Violence Against the Person,Assault with Injury,1887,1983,1826,1666,1438,1166,1371,1391,1376,1506,1423
Barking and Dagenham,Violence Against the Person,Common Assault,1200,1282,1240,1091,967,1024,1355,1553,1653,1780,1677
Barking and Dagenham,Violence Against the Person,Grievous Bodily Harm,142,304,116,0,0,0,0,0,0,0,0
Barking and Dagenham,Violence Against the Person,Harassment,1445,1370,1174,842,988,1049,1364,1788,1900,1909,2122
Barking and Dagenham,Violence Against the Person,Murder,1,3,3,1,0,3,4,3,5,2,6
Barking and Dagenham,Violence Against the Person,Offensive Weapon,172,145,118,93,73,68,55,82,132,142,179
Barking and Dagenham,Violence Against the Person,Other violence,188,230,209,203,139,227,271,401,369,372,441
Barking and Dagenham,Violence Against the Person,Wounding/GBH,150,0,70,198,172,419,589,711,737,622,637
Barnet,Burglary,Burglary in a Dwelling,2604,2943,3099,3505,3486,2960,2578,2695,2374,2786,2912
Barnet,Burglary,Burglary in Other Buildings,1213,1181,1247,1419,1362,1314,1041,1160,1036,1252,1520
Barnet,Criminal Damage,Criminal Damage To Dwelling,644,612,603,568,443,433,411,407,454,433,393
Barnet,Criminal Damage,Criminal Damage To Motor Vehicle,1471,1170,1204,1079,900,812,960,1030,983,936,826
Barnet,Criminal Damage,Criminal Damage To Other Building,321,262,264,254,233,210,191,241,186,181,161
Barnet,Criminal Damage,Other Criminal Damage,612,655,697,579,426,421,537,589,589,587,625
Barnet,Drugs,Drug Trafficking,85,107,84,109,86,118,85,81,117,135,96
Barnet,Drugs,Other Drugs,6,1,5,2,6,9,6,3,7,8,6
Barnet,Drugs,Possession Of Drugs,1275,1418,1119,1151,865,920,943,736,785,652,589
Barnet,Fraud or Forgery,Counted per Victim,971,932,1057,1107,925,107,0,0,0,0,0
Barnet,Fraud or Forgery,Other Fraud & Forgery,408,521,472,472,656,125,35,55,38,48,51
Barnet,Other Notifiable Offences,Going Equipped,22,27,22,28,11,27,12,13,20,8,16
Barnet,Other Notifiable Offences,Other Notifiable,297,286,259,270,275,278,351,380,499,472,522
Barnet,Robbery,Business Property,83,116,78,85,79,74,40,58,37,45,68
Barnet,Robbery,Personal Property,741,834,873,1085,1076,726,522,564,431,601,687
Barnet,Sexual Offences,Other Sexual,195,235,189,222,217,235,259,282,344,409,358
Barnet,Sexual Offences,Rape,44,80,102,90,85,115,146,162,199,236,274
Barnet,Theft and Handling,Handling Stolen Goods,81,83,52,60,57,67,51,47,38,35,39
Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,188,192,212,227,236,279,467,535,575,0,0
Barnet,Theft and Handling,Other Theft,2838,2858,2999,3174,4166,3704,3598,3433,3703,4087,3862
Barnet,Theft and Handling,Other Theft Person,770,987,869,710,717,743,571,661,679,733,754
Barnet,Theft and Handling,Theft From Motor Vehicle,3555,3004,3063,3501,3115,3037,2253,2394,2290,2429,3035
Barnet,Theft and Handling,Theft From Shops,1569,1521,1490,1301,1282,1171,1249,1203,1629,1638,1561
Barnet,Theft and Handling,Theft/Taking Of Motor Vehicle,1078,831,819,921,713,770,717,666,819,1041,1534
Barnet,Theft and Handling,Theft/Taking of Pedal Cycle,164,274,249,230,270,224,196,280,234,254,175
Barnet,Violence Against the Person,Assault with Injury,1591,1589,1468,1375,1312,1074,1413,1494,1509,1626,1551
Barnet,Violence Against the Person,Common Assault,1464,1482,1405,1300,1066,1164,1547,1891,1945,2138,2188
Barnet,Violence Against the Person,Grievous Bodily Harm,105,225,94,0,0,0,0,0,0,0,0
Barnet,Violence Against the Person,Harassment,1466,1389,1248,1202,1279,1394,1934,2546,2994,3017,3285
Barnet,Violence Against the Person,Murder,4,1,7,4,0,3,5,2,4,5,4
Barnet,Violence Against the Person,Offensive Weapon,142,126,102,83,58,85,89,90,121,171,160
Barnet,Violence Against the Person,Other violence,207,166,184,127,122,195,242,271,394,369,351
Barnet,Violence Against the Person,Wounding/GBH,116,0,56,153,138,420,586,654,664,667,645
Bexley,Burglary,Burglary in a Dwelling,1445,1352,1222,904,1040,1140,927,678,711,1043,1378
Bexley,Burglary,Burglary in Other Buildings,856,720,718,592,657,653,617,406,415,573,589
Bexley,Criminal Damage,Criminal Damage To Dwelling,669,591,480,388,342,315,310,296,321,359,332
Bexley,Criminal Damage,Criminal Damage To Motor Vehicle,1448,1288,997,782,754,691,704,764,825,786,685
Bexley,Criminal Damage,Criminal Damage To Other Building,268,216,171,133,133,120,119,115,139,129,124
Bexley,Criminal Damage,Other Criminal Damage,582,697,599,438,367,315,337,403,408,506,444
Bexley,Drugs,Drug Trafficking,78,52,66,112,83,90,61,107,65,35,28
Bexley,Drugs,Other Drugs,2,5,5,9,1,4,2,4,5,4,2
Bexley,Drugs,Possession Of Drugs,977,800,935,838,744,761,727,585,607,472,563
Bexley,Fraud or Forgery,Counted per Victim,480,514,421,486,256,74,0,0,0,0,0
Bexley,Fraud or Forgery,Other Fraud & Forgery,148,175,142,168,170,27,9,9,10,15,11
Bexley,Other Notifiable Offences,Going Equipped,6,10,10,7,10,9,6,12,16,10,11
Bexley,Other Notifiable Offences,Other Notifiable,148,176,161,159,194,217,243,379,304,374,379
Bexley,Robbery,Business Property,40,52,64,44,30,43,27,18,24,39,55
Bexley,Robbery,Personal Property,327,274,200,318,206,234,182,157,194,254,268
Bexley,Sexual Offences,Other Sexual,126,137,140,137,140,133,180,200,244,275,232
Bexley,Sexual Offences,Rape,24,36,31,34,40,74,91,91,140,137,156
Bexley,Theft and Handling,Handling Stolen Goods,52,39,26,20,25,42,16,23,27,16,18
Bexley,Theft and Handling,Motor Vehicle Interference & Tampering,129,174,83,85,93,123,190,256,266,0,0
Bexley,Theft and Handling,Other Theft,1435,1321,1480,1384,1652,1448,1417,1401,1495,1541,1492
Bexley,Theft and Handling,Other Theft Person,220,166,190,158,172,160,130,142,181,201,185
Bexley,Theft and Handling,Theft From Motor Vehicle,1692,1383,1256,1030,1198,1095,1057,916,923,1004,1299
Bexley,Theft and Handling,Theft From Shops,849,895,736,691,667,784,796,760,819,1097,1009
Bexley,Theft and Handling,Theft/Taking Of Motor Vehicle,806,804,699,511,485,495,554,563,573,768,776
Bexley,Theft and Handling,Theft/Taking of Pedal Cycle,164,133,124,113,123,118,122,96,151,152,116
Bexley,Violence Against the Person,Assault with Injury,1371,1328,1124,1008,1019,771,847,921,1070,1166,1126
Bexley,Violence Against the Person,Common Assault,873,886,853,720,672,697,901,1048,1136,1295,1330
Bexley,Violence Against the Person,Grievous Bodily Harm,63,161,67,0,0,0,0,0,0,0,0
Bexley,Violence Against the Person,Harassment,751,1113,1007,772,819,797,1026,1372,1580,1782,1903
Bexley,Violence Against the Person,Murder,5,2,0,5,1,0,1,2,5,0,0
Bexley,Violence Against the Person,Offensive Weapon,145,104,84,68,54,49,44,59,73,103,89
Bexley,Violence Against the Person,Other violence,137,174,108,109,107,175,151,187,229,215,267
Bexley,Violence Against the Person,Wounding/GBH,72,0,40,102,111,260,410,376,464,471,461
Brent,Burglary,Burglary in a Dwelling,2428,2762,2605,2887,2962,2367,2010,2037,1846,2333,2497
Brent,Burglary,Burglary in Other Buildings,941,928,996,891,973,725,629,671,795,1026,1223
Brent,Criminal Damage,Criminal Damage To Dwelling,636,705,681,576,466,510,514,429,516,520,490
Brent,Criminal Damage,Criminal Damage To Motor Vehicle,1218,1155,1061,1012,899,806,786,868,890,864,751
Brent,Criminal Damage,Criminal Damage To Other Building,243,270,276,255,245,209,253,215,243,200,218
Brent,Criminal Damage,Other Criminal Damage,554,696,547,567,555,491,585,606,649,687,731
Brent,Drugs,Drug Trafficking,178,288,133,230,139,177,124,95,148,145,137
Brent,Drugs,Other Drugs,15,17,32,33,35,29,23,21,20,23,27
