,Borough,Major Category,Minor Category,MinorCategory,MajorCategory,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,NormalizedSumYears,CrimeTier
0,Barking and Dagenham,Burglary,Burglary in a Dwelling,0,0,1170,1803,1584,1625,1795,1669,1368,1184,840,1229,1284,0.711125992183713,2
1,Barking and Dagenham,Burglary,Burglary in Other Buildings,1,0,649,690,622,739,665,574,541,448,453,673,629,-0.1388269809565405,1
2,Barking and Dagenham,Criminal Damage,Criminal Damage To Dwelling,2,1,803,722,661,606,488,474,398,408,453,424,321,-0.1796762292411968,1
3,Barking and Dagenham,Criminal Damage,Criminal Damage To Motor Vehicle,3,1,1439,1278,1037,881,686,669,753,842,839,762,630,0.19895634113641905,2
4,Barking and Dagenham,Criminal Damage,Criminal Damage To Other Building,4,1,196,190,185,180,141,137,144,149,166,111,87,-0.5709631863156899,0
5,Barking and Dagenham,Criminal Damage,Other Criminal Damage,5,1,599,657,595,525,404,364,382,439,507,486,490,-0.23972906435532468,1
6,Barking and Dagenham,Drugs,Drug Trafficking,6,2,65,85,107,82,76,69,89,51,68,61,62,-0.6593218864096747,0
7,Barking and Dagenham,Drugs,Other Drugs,7,2,2,1,7,3,0,6,3,2,3,0,1,-0.7331391421414585,0
8,Barking and Dagenham,Drugs,Possession Of Drugs,8,2,1474,976,1076,911,989,1203,972,1139,1061,723,849,0.35180801202764655,2
9,Barking and Dagenham,Fraud or Forgery,Counted per Victim,9,3,859,792,936,833,508,50,0,0,0,0,0,-0.2945647400417926,1
10,Barking and Dagenham,Fraud or Forgery,Other Fraud & Forgery,10,3,381,439,332,306,289,40,36,23,17,26,23,-0.5293369142864884,1
11,Barking and Dagenham,Other Notifiable Offences,Going Equipped,11,4,13,15,11,9,7,11,8,6,11,8,4,-0.7260349250484748,0
12,Barking and Dagenham,Other Notifiable Offences,Other Notifiable,12,4,256,339,318,347,260,281,325,336,383,375,374,-0.42033158326601977,1
13,Barking and Dagenham,Robbery,Business Property,13,5,72,77,83,81,71,36,36,46,49,48,57,-0.6749733646926545,0
14,Barking and Dagenham,Robbery,Personal Property,14,5,599,774,802,973,696,503,463,527,503,830,768,-0.087876423992798,1
15,Barking and Dagenham,Sexual Offences,Other Sexual,15,6,160,178,177,178,155,163,227,265,272,276,299,-0.5391052127893411,0
16,Barking and Dagenham,Sexual Offences,Rape,16,6,52,71,81,89,111,126,137,176,194,208,211,-0.6210257161428094,0
17,Barking and Dagenham,Theft and Handling,Handling Stolen Goods,17,7,49,51,49,32,43,60,72,44,25,30,24,-0.6889597920944661,0
18,Barking and Dagenham,Theft and Handling,Motor Vehicle Interference & Tampering,18,7,142,96,92,98,126,147,171,191,278,0,0,-0.5872806849511368,0
19,Barking and Dagenham,Theft and Handling,Other Theft,19,7,1689,1621,1867,1942,2289,1996,1969,1925,1961,2020,1795,1.1796713101444036,2
20,Barking and Dagenham,Theft and Handling,Other Theft Person,20,7,287,363,358,385,439,390,326,299,350,421,458,-0.3812583892546094,1
21,Barking and Dagenham,Theft and Handling,Theft From Motor Vehicle,21,7,1678,1635,1741,1593,1582,1791,1093,949,1052,1276,1085,0.7195622499816311,2
22,Barking and Dagenham,Theft and Handling,Theft From Shops,22,7,654,750,798,709,651,740,744,834,929,924,790,0.019685862930658386,1
