,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Sales_normalised_by_year,Critic_normalised_by_year,User_normalised_by_year,Score
0,Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76.0,80.0,1.0,71.83,83.54,52.123333333333335
2,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82.0,83.0,1.0,78.67,89.02,56.23
3,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80.0,80.0,1.0,79.75,84.52,55.089999999999996
6,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89.0,85.0,0.36100339311682017,90.14,89.87,60.123667797705615
7,Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58.0,66.0,0.3503393116820165,46.48,65.82,37.550113103894
8,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87.0,84.0,0.864163614163614,88.61,89.29,59.58805453805454
11,Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91.0,86.0,1.0,92.65,91.01,61.55333333333334
13,Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80.0,77.0,1.0,78.21,81.61,53.60666666666666
14,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15.0,4.89,0.24,1.69,21.81,61.0,63.0,1.0,49.3,67.44,39.24666666666666
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80.0,74.0,0.6648351648351647,79.75,77.38,52.59827838827838
16,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97.0,82.0,1.0,100.0,87.8,62.93333333333334
17,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95.0,90.0,1.0,98.53,93.33,64.28666666666668
19,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77.0,79.0,0.8681034482758619,72.06,83.15,52.026034482758625
23,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97.0,81.0,0.7731811697574893,100.0,86.59,62.4543937232525
24,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95.0,87.0,1.0,97.44,89.74,62.72666666666667
26,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77.0,71.0,0.6586206896551724,72.06,74.16,48.95954022988506
28,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,84.0,1.0,97.18,85.71,61.29666666666666
29,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,34.0,1.0,89.33,28.95,39.76
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,63.0,0.6697247706422019,85.92,67.44,51.34324159021406
34,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,53.0,1.0,85.51,45.07,43.86000000000001
35,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,48.0,0.9912917271407838,85.51,38.03,41.5104305757136
36,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94.0,63.0,0.41086691086691085,97.47,64.29,54.05695563695564
37,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,32.0,0.9042119565217391,89.33,26.32,38.85140398550724
38,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,85.0,0.8744154976619906,100.0,87.14,62.671471832554
39,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,89.0,0.3613066741762883,93.33,96.34,63.343768891392095
40,Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,82.0,0.859375,85.33,92.11,59.433125
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,64.0,0.5788990825688075,87.32,68.6,52.166299694189604
42,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,83.0,1.0,100.0,89.61,63.53666666666667
43,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,87.0,0.5224137931034484,85.29,92.13,59.31413793103449
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,78.0,0.5337152930806524,96.15,82.76,59.81457176436022
48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,85.0,0.560096153846154,89.71,86.67,58.98003205128205
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97.0,89.0,0.49977963860731606,100.0,95.4,65.29992654620244
51,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98.0,79.0,0.3097718952407772,100.0,84.15,61.48659063174693
52,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,87.0,1.0,100.0,56.25,52.416666666666664
53,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3.0,2.14,0.78,10.81,90.0,84.0,0.7336956521739131,92.0,94.74,62.49123188405796
54,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84.0,75.0,0.4903669724770643,81.69,81.4,54.526788990825686
55,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94.0,63.0,0.3232600732600732,97.47,64.29,54.02775335775336
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,75.0,0.29540974373415935,100.0,79.27,59.85513658124472
60,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.73,2.56,0.04,0.91,10.25,73.0,26.0,0.48692344270090354,71.43,19.51,30.47564114756697
